id,projectName,description,date,fundsLost,fundsReturned,chaindIds,category,issueType,token
3267,Gate.io (2),"<p><strong>Quick Summary</strong></p><p>Gate.io crypto exchange's cold wallets were exploited via access control. The previous hacker address on the 2015 exploit was involved in this one too. The stolen amount reached roughly 230,000,000 $USD.</p><p><br></p><p><strong>Details of the Exploit</strong></p><p>Gate.io is a centralized crypto exchange. The exchange's cold wallet's private keys were compromised. There is an address involved in the previous 14 February 2015 hack. The total stolen funds were valued at 234,337,668 $USD at the moment of the accident, which contains 10,777 $BTC, 218,790 $ETH, 175,866 $ETC, 3,043,268 $XRP, 11,000 $LTC, 3,783 $ZEC, and 99,999,000 $DOGE.&nbsp;</p><p><br></p><p><strong>Block Data Reference</strong></p><p>Compromised address:</p><p>https://www.blockchain.com/btc/address/1M2bv6sypZSp6uAEC9U4Gzvgp6jd29F87e</p><p><br></p><p>Major transactions:</p><p>https://www.blockchain.com/btc/tx/086f9d27f574c7a1b9179fc7524c2a5227a095ca7c3b096d93ed6fbf8e92af16</p><p>https://www.blockchain.com/btc/tx/d08acac36311373f81f45179de3aa72174cb665122eb2aadefc74738fc6cbcd5</p>",2018-04-21,230000000,0,[],CeFi,Access Control,{'name': 'GT'}
2903,QuadrigaCX,"<p><strong>Quick Summary</strong></p><p>QuadrigaCS owes its customers approximately 190,000,000 $USD.</p><p><br></p><p><strong>Details of the Exploit</strong></p><p>According to a court petition, the troubled Canadian crypto exchange QuadrigaCX owes its clients $190 million and is unable to access the majority of the assets.<br><br>Jennifer Robertson, the widow of QuadrigaCX founder Gerald Cotten, stated in a signed document filed Jan. 31 with the Nova Scotia Supreme Court that the exchange owes its clients around $250 million CAD ($190 million) in both bitcoin and cash. The firm previously declared on its website that it had filed for creditor protection, but the document itself reveals further information about its plight.<br><br>According to the petition, there were around 115,000 individuals with balances signed up on the exchange as of January 31, 2019, with $70 million CAD in fiat and $180 million CAD in crypto owing altogether.<br><br>Cotten reportedly died of Crohn’s disease in Jaipur, India in early December 2018. The exchange announced his death earlier this month. A death certificate was included in the list of exhibits. The founder seemingly had sole control or knowledge of Quadriga’s cold storage solution. Robertson wrote that after his death, “Quadriga’s inventory of cryptocurrency has become unavailable and some of it may be lost.”</p>",2019-02-04,147000000,0,[],CeFi,Access Control,{'name': None}
2890,Token.Store,"<p><strong>Quick Summary</strong></p><p>The team working on the Token.Store wallet decided to close and leave with the users' funds, taking $160 million.<strong><br></strong></p><p><strong><br></strong></p><p><strong>Details of the Exploit</strong></p><p>Token.Store is a decentralized cryptocurrency exchange launched in July 2017.</p><p>Token.Store meant itself as a centralized exchanger like Binance, FX, with a good development team, user data protection and conscientious owners. In practice, it turned out to be a scam project that at some point ""ran away"" from its users, investors, while taking a billion $CNY including $BTC, $XRP, $ETH and other currencies.</p>",2019-06-11,160000000,0,[],CeFi,Rugpull,{'name': None}
2878,PlusToken,"<p><strong>Quick Summary</strong></p><p>The perpetrators of one of the largest digital currency frauds have been sentenced to up to 11 years in prison. In addition, the PlusToken operators were penalized up to $900,000 by a Chinese court for their participation in the $2.25 billion Ponzi scam.<br><strong><br>Details of the Exploit</strong><br>Chen Bo established PlusToken in early 2018, posing as a South Korean wallet and exchange. It enticed investors by promising speedy and guaranteed returns. In the two years afterwards, Bo has recruited numerous others and spread the fraud to other Southeast Asian nations such as China, Cambodia, Malaysia, Vanuatu, and Vietnam.<br><br>PlusToken operators had devised a pyramid scheme that managed to lure over 2.6 million investors, authorities said. The scam was organized into at least 3,200 investor levels, with more referrals and bigger investments bumping an investor up the chain. The operators also lied to investors that they were making money through digital currency investing, according to investors.</p>",2019-12-16,2900000000,0,[],CeFi,Rugpull,{'name': None}
2871,WoToken,"<p><strong>Quick Summary</strong></p><p>WoToken scam took in roughly $1 billion worth of crypto at current prices from over 715,000 victims.</p><p style='box-sizing: inherit; margin: 8px 0px 0px; padding: 0px; border: 0px; outline: none; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); transition: background 0.45s ease-in 0s, background-color 0.45s ease-in 0s, border 0.45s ease-in 0s; line-height: 1.4285em; font-family: ""Avenir Next"", sans-serif; overflow-wrap: break-word; color: rgb(5, 15, 25); font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 500; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(250, 251, 252); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial;'><strong style='box-sizing: inherit; margin: 0px; padding: 0px; border: 0px; outline: none; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); transition: background 0.45s ease-in 0s, background-color 0.45s ease-in 0s, border 0.45s ease-in 0s; font-weight: 700; font-family: ""Avenir Next"", sans-serif !important;'><br style=""box-sizing: inherit; margin: 0px; padding: 0px; border: 0px; outline: none; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); transition: background 0.45s ease-in 0s, background-color 0.45s ease-in 0s, border 0.45s ease-in 0s; font-family: &quot;Avenir Next&quot;, sans-serif !important;""></strong><strong>Details of the Exploit</strong></p><p style='box-sizing: inherit; margin: 8px 0px 0px; padding: 0px; border: 0px; outline: none; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); transition: background 0.45s ease-in 0s, background-color 0.45s ease-in 0s, border 0.45s ease-in 0s; line-height: 1.4285em; font-family: ""Avenir Next"", sans-serif; overflow-wrap: break-word; color: rgb(5, 15, 25); font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 500; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(250, 251, 252); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial;'><span style='color: rgb(5, 15, 25); font-family: ""Avenir Next"", sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 500; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(250, 251, 252); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;'>WoToken purported to create profits for users by deploying algorithmic trading bots and paying affiliates referral commissions. The stated proprietary trading program, however, did not exist, as with other MLM frauds.</span></p><p style='box-sizing: inherit; margin: 8px 0px 0px; padding: 0px; border: 0px; outline: none; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); transition: background 0.45s ease-in 0s, background-color 0.45s ease-in 0s, border 0.45s ease-in 0s; line-height: 1.4285em; font-family: ""Avenir Next"", sans-serif; overflow-wrap: break-word; color: rgb(5, 15, 25); font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 500; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(250, 251, 252); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial;'>One of the scam's key operators is allegedly tied to PlusToken, a multibillion-dollar Ponzi scheme that is thought to have influenced the price trajectory of Bitcoin (BTC) many times during 2019.<br><br>WoToken amassed 46,000 BTC, over 2 million Ethereum (ETH), 292,000 Litecoin (LTC), 56,000 Bitcoin Cash (BCH), and 684,00 Eos (EOS) – totaling approximately $1 billion at the time of the arrest.<br><br>WoToken was operational from July 2018 until October 2019.</p>",2020-05-14,1000000000,0,[],CeFi,Rugpull,{'name': None}
2644,KuCoin,"<p><strong>Quick Summary&nbsp;</strong></p><p>Hackers managed to obtain the private keys to KuCoin's hot wallets and drain the exchange for various crypto assets in the amount of $280 million.&nbsp;</p><p><br></p><p><strong>Details of the Exploit</strong></p><p>This case lacks information with regard to the methodology hackers utilized in order to gain access to KuCoin's hot wallets. The hot wallet affected were designated for Bitcoin, Ethereum, and ERC-20 tokens.<br><br>Stolen funds included:<br>- 1,008 BTC ($10,758,404.86)<br>- 11,543 ETH ($4,030,957.90)<br>- 19,834,042 USDT-ETH ($19,834,042.14)<br>- 18,495,798 XRP ($4,254,547.54)<br>- 26,733 LTC ($1,238,539.89)<br>- 999,160 USDT ($999,160)<br>- $147M worth of ERC-20 tokens<br>- $87M of Stellar tokens<br><br>In an attempt to launder the ill-gotten funds, the attackers proceeded to use a mixture of DeFi protocols such as Kyber and Uniswap.<br>The CEO of KuCoin claims that through a mixture of on-chain analyses, judicial recovery, as well as contract upgrades, 84% of the stolen funds, had been recovered. The remaining losses were covered by KuCoin's own capital and insurance fund.</p>",2020-09-25,280000000,280000000,[],CeFi,Access Control,{'name': None}
2363,Compound Labs,"<p><strong>Quick Summary</strong></p><p>Two big liquidations occurred on Compound Protocol due to the $DAI price spike.&nbsp;</p><p><br></p><p><strong>Details of the Exploit</strong></p><p>Compound is the lending protocol that also provides yield functionality. Around $89 million was liquidated on the protocol Compound due to the oracle issue, as far as Compound's oracle uses Coinbase for pricing data. The price of $DAI token spiked up to $1.3 on the Coinbase Pro exchange. Since many of the loans were undercollateralized, they were liquidated.</p><p><br></p><p><strong>Block Data Reference</strong><br>$46 million liquidation transaction:<br>https://etherscan.io/tx/0x53e09adb77d1e3ea593c933a85bd4472371e03da12e3fec853b5bc7fac50f3e4<br>Address liquidated on $17.5 million in several transactions:<br>https://etherscan.io/address/0xb1adceddb2941033a090dd166a462fe1c2029484</p><p><br></p>",2020-11-26,89000000,0,[1],Borrowing and Lending,Oracle Issue,{'name': 'COMP'}
2861,Thodex,"<p><strong>Quick Summary</strong></p><p>Thodex a turkish crypto exchange went down with other $2 billion of user funds entangled in massive fraud and mismanagement.<strong><br></strong></p><p><br></p><p><strong>Details of the Exploit</strong></p><p>According to a translated statement on the website, Thodex, a crypto exchange that is located in Turkey, stated its platform has been ""temporarily stopped"" to handle an ""abnormal fluctuation in the company accounts.""<br><br>According to local media, Thodex's founder, Faruk Fatih Özer, has gone to Albania with $2 billion of investors' funds. The Demiroren News Agency published a photo of Ozer departing Istanbul Airport:<br>https://www.dha.com.tr/gundem/thodexin-kurucusu-faruk-fatih-ozerin-havalimanindan-ayrilirken-fotografi-1822744</p><p>The CEO has since declared that he has been close to committing suicide but decided against it. According to his own words, Faruk Fatih Özer, plans to repay all investors before handing himself in to authorities.</p>",2021-04-22,2000000000,0,[],CeFi,Rugpull,{'name': None}
2591,Venus,"<p><strong>Quick Summary</strong></p><p>The Venus Protocol experienced a massive liquidation event, due to market circumstances and oracle problems</p><p><br></p><p><strong>Details of the Exploit</strong></p><p>Venus Protocol is an algorithmic-based money market system, that offers lending opportunities on Binance Smart Chain. The project experienced a big liquidation event. In comparison, the 0xef044206db68e40520 bfa82d45419d498b4bc7bf account lost about $66 million in net loss. Liquidators earned around $20 million profit; Sellers made approximately $55 million profit, and Scalpers made approximately $2 million profit.<br><br>Due to unpredictable market fluctuations and the lack of deviation controls on oracles, the protocol lost about $77 million.</p><p><br></p><p><strong>Block Data Reference</strong></p><p>Token address:</p><p>https://bscscan.com/address/0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63</p><p><br></p>",2021-05-18,77000000,0,[2],Borrowing and Lending,Oracle Issue,{'name': 'XVS'}
2762,Africrypt,"<p><strong>Quick Summary</strong></p><p>Ameer and Raees Cajee, the exchange's founders, were reported missing in June 2021 after alleging that almost $3.6 billion invested in the protocol was stolen in a ""hack"".</p><p><br></p><p><br></p><p><strong>Details of the Exploit</strong></p><p>Africrypt claimed to connect banks, payment providers and digital asset providers for seamless global money transfers.</p><p><br></p><p>In April 2021, the Africrypt case gained traction. At the time, one of the protocol's founders contacted investors to notify them that the protocol had been compromised. The creator asked that investors refrain from contacting attorneys or law authorities since doing so would ""slow the recovery process.""</p><p><br></p><p>However, Africrypt staff lost access to the exchange's back-end systems seven days before the claimed attack, making this report suspect. After receiving notice of the ""hack"" and its odd request not to contact attorneys or law enforcement, several investors hired a law firm Hanekom Attorneys. The investigation discovered that most of the bitcoin invested with the exchange had been withdrawn and moved through tumblers and mixers to make it harder to track.&nbsp;</p><p><br></p><p><br></p><p>The founders of Africrypt are still at large and have not been found as the time of this writing.</p>",2021-06-23,3600000000,0,[],CeFi,Rugpull,{'name': None}
2792,Finiko,"<p><strong>Quick Summary</strong></p><p>Finiko company which offers Bitcoin investment opportunities and huge return fees turns out to be a Ponzi scheme. The founders of the company were arrested. Finiko accumulated funds close to 1,500,000,000 $USD due to an investigation from Chainalysis.</p><p><br></p><p><strong>Details of the Exploit</strong></p><p>The company, named Finiko, offered lucrative investment options using a network of promoters who pulled in new users for referral fees. Investors were supposed to put in bitcoin and get the native token of Finiko in return.</p><p>About 100 people reported Finiko to the police, officials said, and the amount of claims totaled around 70 million Russian rubles, or slightly less than $1 million. The project<span style='color: rgb(65, 65, 65); font-family: ""Open Sans"", sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;'>&nbsp;accumulated 59,645 $BTC which is valued at more than 1,500,000,000 $USD due to an investigation from Chainalysis.</span></p><p><br></p><p><strong>Block Data Reference</strong></p><p>Scammer addresses:</p><p>https://www.blockchain.com/btc/address/328zFd28B4WpdGwuDSnYw7BAEtZQc41Lrk</p><p>https://www.blockchain.com/btc/address/1KDqdout1md6fJBDo3LqRdAuiqjw8Twxn5</p><p><br></p><p>Full list of the involved addresses:</p><p>https://archive.ph/8m2yG</p>",2021-07-05,1500000000,0,[],CeFi,Rugpull,{'name': None}
